      --------Part 1--------   --------Part 2--------
Day       Time   Rank  Score       Time   Rank  Score
 25   08:44:41   8597      0   08:44:54   6543      0
 24   01:22:55   3367      0   01:53:46   2863      0
 23   01:07:24   2736      0   15:32:41   7769      0
 22   00:39:02   3617      0   02:06:45   3266      0
 21   10:58:32   8894      0   11:19:46   8694      0
 20   01:25:49   1994      0   13:25:01   3943      0
 19   01:43:42   2853      0   12:46:48   7509      0
 18   03:21:08   6791      0   03:24:08   5360      0
 17   01:07:43   2955      0   01:10:54   2537      0
 16   00:28:17   3273      0   01:10:38   2394      0
 15   01:07:17   5999      0   02:04:42   6507      0
 14   00:24:05   2109      0   01:03:58   2581      0
 13   12:12:01  25913      0   14:37:33  16571      0
 12   00:21:35   3038      0   01:03:23   4131      0
 11   00:44:03   3831      0   12:57:46  20281      0
 10   00:31:03   7376      0   02:17:45   6529      0
  9   02:14:57  13142      0   02:27:45  12114      0
  8   01:10:22   9988      0   01:35:01   8498      0
  7   00:23:54   1636      0   01:07:30   3751      0
  6   00:09:48   3593      0   00:18:29   3322      0
  5   00:40:05   6667      0   00:44:23   5680      0
  4   00:07:12    689      0   00:31:57   1478      0
  3   00:36:11   7135      0   00:38:51   5873      0
  2   00:03:34    279      0   00:05:50    238      0
  1   00:08:29   1369      0   00:09:37    987      0
